x;y;pressure;z;time;velocityx;velocityy;accelx;accely
90;364;0;1023;261319,9672;0;0;0;0
90;365;0;1023;261321,9442;0;0;0;0
90;365;0;1023;261325,8968;0;0;0;0
89;365;0;1023;261329,5007;0;0;0;0
89;365;0;1023;261335,9162;0;0;0;0
88;365;0;1023;261339,9992;0;0;0;0
87;366;0;1023;261345,8103;0;0;0;0
86;366;0;1023;261349,8153;0;0;0;0
86;366;0;1023;261355,7505;0;0;0;0
85;366;0;1023;261359,6853;0;0;0;0
83;366;0;1023;261365,8451;0;0;0;0
81;366;0;970;261369,861;0;0;0;0
79;366;0;970;261375,7033;0;0;0;0
76;366;0;918;261379,5991;0;0;0;0
74;366;0;866;261385,8701;0;0;0;0
72;365;0;818;261389,5626;0;0;0;0
70;365;0;766;261399,6366;0;0;0;0
69;364;0;714;261401,2254;0;0;0;0
67;364;0;661;261405,6652;0;0;0;0
66;364;0;613;261409,4808;0;0;0;0
64;363;0;561;261415,798;0;0;0;0
63;363;0;509;261419,6746;0;0;0;0
61;363;0;457;261425,651;0;0;0;0
60;363;0;409;261429,5506;0;0;0;0
59;363;0;357;261436,0118;0;0;0;0
58;363;0;252;261439,5736;0;0;0;0
58;362;0;152;261445,4176;0;0;0;0
57;360;0;48;261449,7421;0;0;0;0
57;358;0;0;261455,599;0;0;0;0
56;357;0;0;261459,6333;0;0;0;0
56;355;0;0;261465,5744;0;0;0;0
56;353;0;0;261469,3681;0;0;0;0
56;351;0;0;261475,5061;0;0;0;0
56;348;0;0;261479,5158;0;0;0;0
56;345;0;0;261485,5593;0;0;0;0
56;343;0;0;261489,4681;0;0;0;0
56;341;0;0;261495,4764;0;0;0;0
55;340;0;0;261499,4345;0;0;0;0
54;340;9068;0;261505,6133;0;0;0;0
54;340;12085;0;261516,7906;0;0;0;0
54;340;13401;0;261518,4244;0;0;0;0
54;340;13505;0;261519,7673;0;0;0;0
54;340;13513;0;261530,4913;0;0;0;0
54;340;13505;0;261532,2091;0;0;0;0
54;340;13281;0;261543,2964;0;0;0;0
54;340;12937;0;261544,8015;0;0;0;0
54;340;12145;0;261546,0438;0;0;0;0
54;340;11709;0;261557,4947;0;0;0;0
56;339;11709;0;261559,34;0;0;0;0
58;339;11773;0;261560,5901;0;0;0;0
60;340;11849;0;261571,262;0;0;0;0
63;340;12117;0;261573,0038;0;0;0;0
66;341;12261;0;261584,6229;0;0;0;0
69;342;12517;0;261586,246;0;0;0;0
72;344;12733;0;261587,5287;0;0;0;0
76;347;12977;0;261599,5059;0;0;0;0
79;350;13245;0;261601,0862;0;0;0;0
83;353;13437;0;261602,558;0;0;0;0
86;358;13525;0;261614,5394;0;0;0;0
90;362;13677;0;261616,0915;0;0;0;0
93;368;13829;0;261617,4435;0;0;0;0
96;374;13917;0;261629,6099;0;0;0;0
99;380;14009;0;261631,232;0;0;0;0
102;386;14097;0;261632,5678;0;0;0;0
104;392;14185;0;261644,5023;0;0;0;0
107;398;14261;0;261646,3151;0;0;0;0
108;405;14313;0;261648,0035;0;0;0;0
110;411;14325;0;261649,6108;0;0;0;0
111;417;14377;0;261662,2079;0;0;0;0
112;424;14385;0;261663,986;0;0;0;0
112;430;14389;0;261665,7473;0;0;0;0
112;436;14401;0;261678,45;0;0;0;0
111;442;14405;0;261680,2645;0;0;0;0
110;447;14413;0;261681,8787;0;0;0;0
108;451;14477;0;261694,2321;0;0;0;0
106;455;14617;0;261696,2282;0;0;0;0
104;458;14793;0;261697,8706;0;0;0;0
101;461;15121;0;261699,6742;0;0;0;0
98;464;15497;0;261712,2637;0;0;0;0
95;465;15849;0;261713,9544;0;0;0;0
92;467;16089;0;261715,6721;0;0;0;0
89;468;16381;0;261728,0618;0;0;0;0
86;468;16481;0;261729,8793;0;0;0;0
