x;y;pressure;z;time;velocityx;velocityy;accelx;accely
88;434;14497;0;0;0;0;0;0
88;434;17473;0;10,6875;0;0;0;0
88;434;17473;0;12,25;0;0;0;0
88;434;17001;0;14,015625;0;0;0;0
88;434;16501;0;25,03125;0;0;0;0
88;434;16353;0;26,734375;0;0;0;0
88;434;16301;0;38,273438;0;0;0;0
88;434;16061;0;40,179688;0;0;0;0
88;434;15721;0;43,007812;0;0;0;0
88;434;15393;0;44,828125;0;0;0;0
90;433;15393;0;55,671875;0,18443803;-0,09221902;0,017008696;-0,008504348
90;436;15597;0;57,585938;0;1,5673469;-0,09635946;0,86703855
90;440;16173;0;69,28125;0;0,34201738;0;-0,104770996
90;445;16713;0;71;0;2,909091;0;1,4935701
90;452;17101;0;72,72656;0;4,054299;0;0,6632878
88;458;17361;0;75,046875;-0,86195284;2,5858586;-0,37148136;-0,63286316
87;465;17521;0;87,203125;-0,08226221;0,57583547;0,064139076;-0,16534895
86;470;17669;0;88,97656;-0,5638766;2,8193831;-0,27157113;1,2650841
85;476;17821;0;90,921875;-0,5140562;3,0843372;0,0256105;0,13620129
83;480;18029;0;102,46094;-0,1733243;0,3466486;0,029528562;-0,23725398
82;484;18277;0;104,38281;-0,5203252;2,0813007;-0,18055332;0,90258324
80;486;18549;0;106,22656;-1,0847458;1,0847458;-0,30612642;-0,5405044
78;488;18993;0;117,796875;-0,17285618;0,17285618;0,078812875;-0,078812875
77;489;19705;0;119,49219;-0,58986175;0,58986175;-0,24597563;0,24597563
75;489;20545;0;121,19531;-1,1743119;0;-0,34316337;-0,34634084
74;489;21301;0;133,13281;-0,083769634;0;0,09135432;0
72;488;21898;0;134,90625;-1,1277533;-0,5638766;-0,58867794;-0,31795686
71;486;22226;0;136,77344;-0,53556484;-1,0711297;0,3171553;-0,2716669
70;484;22274;0;148,02344;-0,08888889;-0,17777778;0,039704528;0,079409055
69;482;22274;0;149,79688;-0,5638766;-1,1277533;-0,2678345;-0,535669
69;479;21994;0;151,52344;0;-1,7375566;0,32658917;-0,35318926
70;475;21729;0;163,53906;0,08322497;-0,33289987;0,006926395;0,1169025
71;471;21485;0;165,30469;0,5663717;-2,2654867;0,27364063;-1,0945625
74;466;21401;0;167,00781;1,7614679;-2,9357798;0,7017079;-0,39356658
77;461;21401;0;179,53906;0,23940149;-0,3990025;-0,12146167;0,20243609
81;456;21473;0;181,21875;2,3813953;-2,9767442;1,2752335;-1,5346555
85;451;21617;0;183,08594;2,1422594;-2,6778243;-0,12807283;0,160091
