x;y;pressure;z;time;velocityx;velocityy;accelx;accely
0;231;6860;0;0;0;0;0;0
0;231;8872;0;5,8125;0;0;0;0
0;231;9440;0;11,4375;0;0;0;0
0;231;9700;0;17,25;0;0;0;0
0;231;9700;0;22,375;0;0;0;0
0;231;8964;0;27,5;0;0;0;0
0;231;8728;0;33,5625;0;0;0;0
0;231;8728;0;34,3125;0;0;0;0
0;231;10164;0;39,5;0;0;0;0
0;232;11145;0;44,5625;0;0,19753087;0;0,03901844
3;233;12213;0;50,5;0,50526315;0,16842106;0,08509695;-0,004902704
7;234;13249;0;55,5625;0,79012346;0,19753087;0,056268703;0,005750085
13;237;14125;0;60,6875;1,1707317;0,58536583;0,07426502;0,075675115
19;239;14785;0;66,9375;0,96;0,32;-0,03371707;-0,042458534
25;242;15313;0;71,9375;1,2;0,6;0,048000015;0,056000005
32;245;15693;0;76,9375;1,4;0,6;0,039999984;0
40;248;15969;0;83;1,3195876;0,49484536;-0,013263899;-0,017345099
48;252;16081;0;83,8125;9,846154;4,923077;10,494236;5,4501314
58;256;16129;0;89,75;1,6842105;0,67368424;-1,3746431;-0,7156872
69;261;16141;0;94,75;2,2;1;0,1031579;0,06526315
81;266;16321;0;100,625;2,0425532;0,85106385;-0,026799466;-0,025350835
93;271;16449;0;105,6875;2,3703704;0,9876543;0,06475402;0,026980836
105;276;16509;0;110,6875;2,4;1;0,0059259413;0,0024691343
117;281;16561;0;116,5625;2,0425532;0,85106385;-0,060842026;-0,025350835
129;286;16561;0;121,625;2,3703704;0,9876543;0,06475402;0,026980836
141;290;16497;0;126,625;2,4;0,8;0,0059259413;-0,03753086
153;294;16361;0;132,3125;2,1098902;0,7032967;-0,05100833;-0,017002776
164;298;16349;0;137,4375;2,1463416;0,7804878;0,0071124565;0,015061669
173;301;16341;0;142,5625;1,7560976;0,58536583;-0,07614517;-0,038072575
183;304;16325;0;143,25;14,545455;4,3636365;18,602701;5,4956665
191;307;16277;0;149,5625;1,2673267;0,47524753;-2,103466;-0,6159824
199;310;16213;0;154,5625;1,6;0,6;0,06653466;0,024950499
206;312;16213;0;159,6875;1,3658537;0,3902439;-0,045687094;-0,040928025
213;315;16213;0;165,625;1,1789473;0,50526315;-0,031478964;0,019371666
219;317;16213;0;170,8125;1,1566265;0,38554215;-0,004302818;-0,023078745
225;318;16213;0;175,8125;1,2;0,2;0,008674717;-0,03710843
229;320;16301;0;181,4375;0,7111111;0,35555556;-0,086913586;0,027654322
232;321;16389;0;186,5;0,5925926;0,19753087;-0,023411067;-0,031214755
234;321;16389;0;191,6875;0,38554215;0;-0,039913338;-0,038078237
235;321;16213;0;197,25;0,17977528;0;-0,036991797;0
235;321;15973;0;202,625;0;0;-0,033446565;0
235;321;15721;0;203,4375;0;0;0;0
235;321;15721;0;209,375;0;0;0;0
234;320;15897;0;215,6875;-0,15841584;-0,15841584;-0,025095578;-0,025095578
232;319;16353;0;220,625;-0,4050633;-0,20253165;-0,049953915;-0,008934848
227;316;16565;0;225,875;-0,95238096;-0,5714286;-0,104250975;-0,07026609
222;312;16765;0;231,5;-0,8888889;-0,7111111;0,011287477;-0,02483245
216;308;17073;0;236,625;-1,1707317;-0,7804878;-0,05499371;-0,013536907
210;303;17421;0;237,375;-8;-6,6666665;-9,105691;-7,8482385
205;299;17721;0;243,5625;-0,8080808;-0,64646465;1,1623304;0,9729619
200;295;18041;0;249,3125;-0,8695652;-0,6956522;-0,010692938;-0,008554355
194;291;18265;0;254,25;-1,2151898;-0,8101266;-0,069999926;-0,023184692
189;286;18425;0;259,5625;-0,9411765;-0,9411765;0,05157898;-0,024668211
183;281;18513;0;265,375;-1,032258;-0,86021507;-0,015669946;0,013928844
177;276;18561;0;270,25;-1,2307693;-1,0256411;-0,040720254;-0,033933543
170;271;18573;0;275,625;-1,3023256;-0,9302326;-0,013312805;0,017750418
163;266;18581;0;281,75;-1,1428572;-0,81632656;0,026035659;0,018596902
155;262;18705;0;286,875;-1,5609756;-0,7804878;-0,081584066;0,0069929333
148;257;18765;0;287,6875;-8,615385;-6,1538463;-8,68235;-6,6133647
140;253;18889;0;293,25;-1,4382023;-0,71910113;1,29028;0,97703284
133;249;19097;0;298,875;-1,2444445;-0,7111111;0,034445826;0,0014204449
126;245;19429;0;303,9375;-1,3827161;-0,79012346;-0,027312903;-0,015607375
119;242;19945;0;309,125;-1,3493975;-0,57831323;0,006422847;0,040830888
113;240;20285;0;315,3125;-0,969697;-0,32323232;0,061365742;0,0412252
108;238;20541;0;320,9375;-0,8888889;-0,35555556;0,014365885;-0,005746354
105;237;20785;0;326,125;-0,57831323;-0,19277108;0,05987001;0,031380143
102;236;21077;0;331,8125;-0,52747256;-0,17582418;0,00893902;0,0029796741
101;235;21333;0;337;-0,19277108;-0,19277108;0,06452077;-0,0032668717
100;234;21421;0;337,75;-1,3333334;-1,3333334;-1,5207497;-1,5207497
99;234;21433;0;343,5;-0,17391305;0;0,20163833;0,23188406
99;234;21505;0;349,125;0;0;0,030917875;0
99;234;21637;0;354,1875;0;0;0;0
98;234;21749;0;359,5625;-0,18604651;0;-0,034613304;0
98;234;21821;0;365,6875;0;0;0,03037494;0
98;233;21906;0;370,875;0;-0,19277108;0;-0,03716069
97;233;22014;0;376,1875;-0,1882353;0;-0,035432525;0,03628632
96;233;22150;0;381,875;-0,17582418;0;0,0021821745;0
95;234;22246;0;387,0625;-0,19277108;0,19277108;-0,0032668717;0,03716069
93;234;22246;0;387,6875;-3,2;0;-4,8115664;-0,3084337
92;235;22294;0;393,375;-0,17582418;0,17582418;0,53172326;0,03091414
90;236;22294;0;398,9375;-0,35955057;0,17977528;-0,033029463;0,0007103106
89;237;22290;0;404,3125;-0,18604651;0,18604651;0,032279823;0,0011667401
88;239;22282;0;409,6875;-0,18604651;0,37209302;0;0,034613304
87;240;22274;0;415,25;-0,17977528;0,17977528;0,0011274118;-0,034573976
86;242;22226;0;420,5;-0,1904762;0,3809524;-0,0020382688;0,03831945
85;244;22142;0;425,9375;-0,18390805;0,3678161;0,0012079354;-0,0024158708
85;247;22082;0;432;0;0,49484536;0,030335348;0,02095328
84;249;21958;0;437,25;-0,1904762;0,3809524;-0,03628118;-0,0216939
84;252;21850;0;438;0;4;0,25396827;4,825397
84;256;21753;0;443,375;0;0,74418604;0;-0,60573286
84;259;21677;0;448,9375;0;0,53932583;0;-0,0368288
84;263;21605;0;454,0625;0;0,7804878;0;0,04705599
84;268;21497;0;459,375;0;0,9411765;0;0,030247284
85;272;21401;0;464,6875;0,1882353;0,7529412;0,035432525;-0,035432525
85;277;21289;0;470;0;0,9411765;-0,035432525;0,035432525
86;282;21221;0;475,25;0,1904762;0,95238096;0,03628118;0,002134187
87;286;21221;0;480,4375;0,19277108;0,7710843;0,0004423871;-0,03494875
