x;y;pressure;z;time;velocityx;velocityy;accelx;accely
356;577;0;1023;291926,0232;0;0;0;0
356;577;0;1023;291927,9923;0;0;0;0
356;577;0;1023;291931,003;0;0;0;0
356;577;0;1023;291935,0064;0;0;0;0
356;577;0;1023;291941,1902;0;0;0;0
356;577;0;1023;291944,8949;0;0;0;0
357;577;0;1023;291950,9143;0;0;0;0
357;577;0;1023;291954,8868;0;0;0;0
357;578;0;1023;291960,9611;0;0;0;0
357;578;0;1023;291964,9324;0;0;0;0
358;578;0;1023;291970,8675;0;0;0;0
358;578;0;1023;291975,0087;0;0;0;0
358;578;0;1023;291980,8658;0;0;0;0
358;578;0;1023;291984,9247;0;0;0;0
358;578;0;1023;291992,0753;0;0;0;0
359;578;0;998;291994,9005;0;0;0;0
359;579;0;998;292000,9677;0;0;0;0
359;579;0;998;292005,0666;0;0;0;0
360;579;0;974;292010,9719;0;0;0;0
360;579;0;974;292014,9255;0;0;0;0
361;580;0;950;292020,8171;0;0;0;0
361;580;0;926;292025,0637;0;0;0;0
362;580;0;926;292030,9677;0;0;0;0
362;581;0;902;292034,9794;0;0;0;0
363;581;0;878;292040,8635;0;0;0;0
363;581;0;878;292045,0168;0;0;0;0
364;581;0;854;292050,9581;0;0;0;0
364;582;0;854;292054,9964;0;0;0;0
365;582;0;830;292060,8188;0;0;0;0
365;582;0;830;292064,5552;0;0;0;0
366;582;0;830;292070,7147;0;0;0;0
366;582;0;830;292074,5787;0;0;0;0
366;582;0;830;292080,6341;0;0;0;0
366;582;0;830;292084,583;0;0;0;0
367;583;0;830;292090,684;0;0;0;0
367;583;0;830;292094,6381;0;0;0;0
367;583;0;806;292100,9133;0;0;0;0
367;583;0;806;292104,7587;0;0;0;0
367;582;0;806;292110,6881;0;0;0;0
367;582;0;806;292114,6654;0;0;0;0
367;582;0;806;292120,6752;0;0;0;0
367;582;0;806;292124,6345;0;0;0;0
367;582;0;782;292130,6516;0;0;0;0
367;582;0;782;292134,9077;0;0;0;0
367;582;0;782;292140,9398;0;0;0;0
367;582;0;782;292144,6431;0;0;0;0
368;581;0;758;292150,6534;0;0;0;0
368;581;0;758;292154,6026;0;0;0;0
368;581;0;758;292160,5893;0;0;0;0
369;581;0;734;292164,7704;0;0;0;0
369;582;0;734;292170,6694;0;0;0;0
370;582;0;710;292174,6456;0;0;0;0
371;582;0;686;292180,8852;0;0;0;0
372;582;0;686;292184,6288;0;0;0;0
373;583;0;665;292190,6368;0;0;0;0
375;583;0;665;292195,7932;0;0;0;0
376;583;0;641;292200,6999;0;0;0;0
377;583;0;641;292204,6738;0;0;0;0
377;583;0;641;292210,9832;0;0;0;0
377;583;0;641;292214,8509;0;0;0;0
377;583;0;641;292220,7038;0;0;0;0
377;583;0;641;292224,6474;0;0;0;0
377;583;0;641;292230,8071;0;0;0;0
378;583;0;665;292234,6891;0;0;0;0
378;583;0;665;292240,7531;0;0;0;0
378;583;0;686;292244,8214;0;0;0;0
379;583;0;686;292250,6271;0;0;0;0
380;583;0;710;292254,589;0;0;0;0
381;583;0;710;292260,8021;0;0;0;0
381;583;0;734;292264,6574;0;0;0;0
382;584;0;734;292270,7905;0;0;0;0
383;585;0;758;292274,6532;0;0;0;0
385;586;0;758;292280,6883;0;0;0;0
386;587;0;758;292284,6398;0;0;0;0
386;588;0;782;292290,6571;0;0;0;0
386;588;0;782;292294,7803;0;0;0;0
387;589;0;782;292300,7176;0;0;0;0
387;589;0;782;292304,6753;0;0;0;0
